Player;PTS;FGA;AST;DRB;ORB;STL;BLK;TOV
Bones Hyland;11.8;10.2;3.1;2.1;0.4;0.7;0.3;1.5
Bones Hyland;12.1;10.3;3.0;1.8;0.2;0.7;0.3;1.6
Bones Hyland;10.8;9.8;3.4;2.8;0.7;0.8;0.1;1.1
Serge Ibaka;4.1;3.4;0.3;1.8;0.9;0.1;0.4;0.7
Andre Iguodala;2.1;1.9;2.4;1.8;0.4;0.5;0.4;1.1
Joe Ingles;6.9;5.4;3.3;2.5;0.3;0.7;0.1;1.2
Brandon Ingram;24.7;18.6;5.8;5.0;0.5;0.7;0.4;3.3
Kyrie Irving;27.1;20.1;5.5;4.1;1.0;1.1;0.8;2.1
Kyrie Irving;27.1;20.5;5.3;4.2;1.0;1.0;0.8;2.3
Kyrie Irving;27.0;19.2;6.0;4.0;1.1;1.3;0.6;1.9
Jonathan Isaac;5.0;4.8;0.5;2.6;1.4;1.3;0.4;0.4
Jaden Ivey;16.3;13.3;5.2;2.9;1.0;0.8;0.2;3.2
Frank Jackson;0.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0
Isaiah Jackson;7.2;5.0;0.8;2.7;1.8;0.5;1.5;0.8
Jaren Jackson Jr.;18.6;13.0;1.0;5.0;1.7;1.0;3.0;1.7
Justin Jackson;0.9;1.2;0.4;0.7;0.1;0.2;0.2;0.1
Quenton Jackson;6.2;4.7;1.7;0.7;0.2;0.4;0.1;0.4
Reggie Jackson;10.2;9.4;3.4;1.8;0.4;0.7;0.1;1.7
Reggie Jackson;10.9;9.8;3.5;1.8;0.4;0.7;0.1;1.8
Reggie Jackson;7.9;8.0;3.1;1.6;0.2;0.6;0.1;1.2
LeBron James;28.9;22.2;6.8;7.1;1.2;0.9;0.6;3.2
Ty Jerome;6.9;5.4;3.0;1.6;0.2;0.5;0.1;0.7
Isaiah Joe;9.5;7.0;1.2;2.0;0.4;0.7;0.1;0.5
Alize Johnson;1.8;1.5;0.3;2.0;0.5;0.3;0.0;1.0
Cameron Johnson;15.5;11.3;1.9;3.6;0.8;1.2;0.3;0.9
Cameron Johnson;13.9;10.2;1.5;3.0;0.8;0.9;0.4;0.6
Cameron Johnson;16.6;12.0;2.1;4.0;0.8;1.4;0.3;1.1
Jalen Johnson;5.6;4.6;1.2;3.3;0.7;0.5;0.5;0.6
James Johnson;2.8;2.7;0.8;1.4;0.2;0.4;0.3;0.4
Keldon Johnson;22.0;17.7;2.9;4.2;0.9;0.7;0.2;2.1
Keon Johnson;4.7;4.5;1.5;0.8;0.3;0.5;0.2;1.1
Stanley Johnson;5.8;4.1;2.2;2.4;0.7;0.5;0.2;1.1
Nikola JokiÄá;24.5;14.8;9.8;9.4;2.4;1.3;0.7;3.6
Carlik Jones;2.9;2.1;0.9;0.6;0.1;0.3;0.0;0.3
Damian Jones;3.5;2.1;0.4;2.0;1.0;0.2;0.5;0.6
Damian Jones;2.5;1.7;0.2;1.7;0.8;0.1;0.5;0.4
Damian Jones;4.6;2.6;0.6;2.3;1.3;0.3;0.5;0.7
